,eta,epsilon,sigma,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
0,0.05,0.35,0.2,0.01618939829119678,0.005768973679619835,8,7,7,8.54000000000001
1,0.05,0.35,0.4,0.002937562840846816,0.0004910978580283772,8,7,7,8.54000000000001
2,0.05,0.35,0.6,0.0030745627765530106,0.0002934270817828704,8,7,7,8.54000000000001
3,0.05,0.5,0.2,0.016770385462751655,0.007002155664536882,7,7,7,4.060000000000003
4,0.05,0.5,0.4,0.002959387084603842,0.0005619718476692208,7,7,7,4.060000000000003
5,0.05,0.5,0.6,0.0030747621501092605,0.0002939619978213068,7,7,7,4.060000000000003
6,0.05,1.0,0.2,0.018601073415894107,0.017748008793083987,7,7,7,0.9799999999999985
7,0.05,1.0,0.4,0.0031181195434270156,0.001504327420819412,7,7,7,0.9799999999999985
8,0.05,1.0,0.6,0.0031150281198167253,0.00047928119926493796,7,7,7,0.9799999999999985
9,0.1,0.35,0.2,0.016758865459867763,0.006442386082882758,8,7,7,8.54000000000001
10,0.1,0.35,0.4,0.0030399787166010828,0.0005904598293982776,8,7,7,8.54000000000001
11,0.1,0.35,0.6,0.0031758186136133237,0.00035178513098775446,8,7,7,8.54000000000001
12,0.1,0.5,0.2,0.017250435306006694,0.00733097454099696,7,7,7,4.060000000000003
13,0.1,0.5,0.4,0.0030585134653862943,0.0006590099291270004,7,7,7,4.060000000000003
14,0.1,0.5,0.6,0.0031743269935966215,0.00034694616891137495,7,7,7,4.060000000000003
15,0.1,1.0,0.2,0.01933089989874185,0.0191765953965003,7,7,7,0.9799999999999985
16,0.1,1.0,0.4,0.003206822378345903,0.0015271289728662992,7,7,7,0.9799999999999985
17,0.1,1.0,0.6,0.00320882456055089,0.0005043428679983446,7,7,7,0.9799999999999985
18,0.2,0.35,0.2,0.01774506240786016,0.008113888004968952,8,7,7,8.54000000000001
19,0.2,0.35,0.4,0.003223589910461118,0.0007438956159118547,8,7,7,8.54000000000001
20,0.2,0.35,0.6,0.003374358365739786,0.0004648208571197058,8,7,7,8.54000000000001
21,0.2,0.5,0.2,0.018258508888597463,0.008797736477309366,7,7,7,4.060000000000003
22,0.2,0.5,0.4,0.003245157521545083,0.0008139174397054438,7,7,7,4.060000000000003
23,0.2,0.5,0.6,0.0033736133316927008,0.00046296846945119305,7,7,7,4.060000000000003
24,0.2,1.0,0.2,0.020390349719230483,0.02004358979420439,7,7,7,0.9799999999999985
25,0.2,1.0,0.4,0.0033863950626382283,0.0015822465144433675,7,7,7,0.9799999999999985
26,0.2,1.0,0.6,0.003406494385445055,0.0005847782673048079,7,7,7,0.9799999999999985
