,eta,epsilon,sigma,TMSE,CB
0,0.05,0.35,0.2,0.5393818157664627,10
1,0.05,0.35,0.4,0.45602142613057445,10
2,0.05,0.35,0.6,0.42502079836192996,10
3,0.05,0.5,0.2,0.551391533107392,6
4,0.05,0.5,0.4,0.47007944480646824,6
5,0.05,0.5,0.6,0.43510490193660434,6
6,0.05,1.0,0.2,0.6405354997873585,3
7,0.05,1.0,0.4,0.5524136918881981,3
8,0.05,1.0,0.6,0.4921665983160638,3
9,0.1,0.35,0.2,0.47154058720416164,10
10,0.1,0.35,0.4,0.4060256620366885,10
11,0.1,0.35,0.6,0.38645855698506393,10
12,0.1,0.5,0.2,0.4967776730467537,6
13,0.1,0.5,0.4,0.42247914374566564,6
14,0.1,0.5,0.6,0.3972559948117713,6
15,0.1,1.0,0.2,0.6537466423662475,3
16,0.1,1.0,0.4,0.5365583439552377,3
17,0.1,1.0,0.6,0.4572880782119756,3
18,0.2,0.35,0.2,0.4344984511328648,10
19,0.2,0.35,0.4,0.4233577809495448,10
20,0.2,0.35,0.6,0.4046490564281912,10
21,0.2,0.5,0.2,0.5075287985894924,6
22,0.2,0.5,0.4,0.4498007008783981,6
23,0.2,0.5,0.6,0.4223407260162089,6
24,0.2,1.0,0.2,0.7995853126686117,3
25,0.2,1.0,0.4,0.6246053751672639,3
26,0.2,1.0,0.6,0.499853103550649,3
