,eta,epsilon,sigma,TMSE,CB_mean,CB_median,CB_mode,CB_std
0,0.05,0.35,0.2,0.11860746995525523,50,41,20,0.11860746995525523
1,0.05,0.35,0.4,0.17159623727030857,50,41,20,0.17159623727030857
2,0.05,0.35,0.6,0.15477965353856152,50,41,20,0.15477965353856152
3,0.05,0.5,0.2,0.12523613812957274,36,22,15,0.12523613812957274
4,0.05,0.5,0.4,0.17758410092215648,36,22,15,0.17758410092215648
5,0.05,0.5,0.6,0.1578962072241966,36,22,15,0.1578962072241966
6,0.05,1.0,0.2,0.09575517350483495,11,8,7,0.09575517350483495
7,0.05,1.0,0.4,0.1669513299541905,11,8,7,0.1669513299541905
8,0.05,1.0,0.6,0.15033158057393653,11,8,7,0.15033158057393653
9,0.1,0.35,0.2,0.18025219744506893,50,41,20,0.18025219744506893
10,0.1,0.35,0.4,0.20049536253905778,50,41,20,0.20049536253905778
11,0.1,0.35,0.6,0.157244750863599,50,41,20,0.157244750863599
12,0.1,0.5,0.2,0.18653812299277522,36,22,15,0.18653812299277522
13,0.1,0.5,0.4,0.2020025181515592,36,22,15,0.2020025181515592
14,0.1,0.5,0.6,0.15633049333616944,36,22,15,0.15633049333616944
15,0.1,1.0,0.2,0.13616142465962505,11,8,7,0.13616142465962505
16,0.1,1.0,0.4,0.19241885204152875,11,8,7,0.19241885204152875
17,0.1,1.0,0.6,0.14657075956215015,11,8,7,0.14657075956215015
18,0.2,0.35,0.2,0.2338363757113371,50,41,20,0.2338363757113371
19,0.2,0.35,0.4,0.1945705615408305,50,41,20,0.1945705615408305
20,0.2,0.35,0.6,0.1595497674797594,50,41,20,0.1595497674797594
21,0.2,0.5,0.2,0.2291782609599548,36,22,15,0.2291782609599548
22,0.2,0.5,0.4,0.18698399710761715,36,22,15,0.18698399710761715
23,0.2,0.5,0.6,0.16492809580446158,36,22,15,0.16492809580446158
24,0.2,1.0,0.2,0.14972958553142984,11,8,7,0.14972958553142984
25,0.2,1.0,0.4,0.17949241462467141,11,8,7,0.17949241462467141
26,0.2,1.0,0.6,0.22173606477037958,11,8,7,0.22173606477037958
