,eta,epsilon,mu,K,TMSE,CB
0,0.5,0.05,0.0001,20,0.08831537086971226,1207
1,0.5,0.05,0.0001,22,0.08816963590955106,1209
2,0.5,0.05,0.0001,26,0.08796004326598197,1211
3,0.5,0.05,0.0001,28,0.08787954947500085,1212
4,0.5,0.05,0.0001,32,0.08769939213791318,1213
5,0.5,0.05,0.0005,20,0.0945873549718412,1172
6,0.5,0.05,0.0005,22,0.09389098070859551,1178
7,0.5,0.05,0.0005,26,0.09269572565439371,1189
8,0.5,0.05,0.0005,28,0.0925921050257251,1192
9,0.5,0.05,0.0005,32,0.09175406594005134,1200
10,0.5,0.05,0.001,20,0.10251275662374201,1133
11,0.5,0.05,0.001,22,0.1010354058014252,1144
12,0.5,0.05,0.001,26,0.09911007295520571,1158
13,0.5,0.05,0.001,28,0.09838672692299075,1168
14,0.5,0.05,0.001,32,0.09699115056448279,1183
15,0.5,0.1,0.0001,20,0.0875584869385262,485
16,0.5,0.1,0.0001,22,0.08750657033958642,485
17,0.5,0.1,0.0001,26,0.08748210129636501,486
18,0.5,0.1,0.0001,28,0.08744090758715553,486
19,0.5,0.1,0.0001,32,0.0873659530145119,486
20,0.5,0.1,0.0005,20,0.09075327167618315,478
21,0.5,0.1,0.0005,22,0.09043425695447974,480
22,0.5,0.1,0.0005,26,0.08969347929871947,483
23,0.5,0.1,0.0005,28,0.08936918607089467,483
24,0.5,0.1,0.0005,32,0.08909664583152668,484
25,0.5,0.1,0.001,20,0.09492184008610086,469
26,0.5,0.1,0.001,22,0.09481971424976829,473
27,0.5,0.1,0.001,26,0.09312228698010683,478
28,0.5,0.1,0.001,28,0.09259999624793049,481
29,0.5,0.1,0.001,32,0.09308679073454455,482
30,0.5,0.2,0.0001,20,0.08902678141253194,168
31,0.5,0.2,0.0001,22,0.08901485677660839,168
32,0.5,0.2,0.0001,26,0.08891063203316663,168
33,0.5,0.2,0.0001,28,0.08894921358316316,168
34,0.5,0.2,0.0001,32,0.08895748761946401,168
35,0.5,0.2,0.0005,20,0.09104538101993308,168
36,0.5,0.2,0.0005,22,0.09116010117120957,168
37,0.5,0.2,0.0005,26,0.09008225826944385,168
38,0.5,0.2,0.0005,28,0.09007450120438662,168
39,0.5,0.2,0.0005,32,0.0896336935454336,169
40,0.5,0.2,0.001,20,0.0919320500257024,168
41,0.5,0.2,0.001,22,0.09125652063808548,168
42,0.5,0.2,0.001,26,0.09134940800217048,169
43,0.5,0.2,0.001,28,0.0919043356709565,169
44,0.5,0.2,0.001,32,0.09093349290833005,169
